country;gdp_capita;lat;lng;christian;muslim;irreligion;hindu;buddhist;folk_religions;other_religions;jewish;smokers
Greece;29112;39.074208;21.824312;0.88;0.05;0.06;0;0;0;0;0;0.37
France;45601;46.227638;2.213749;0.63;0.08;0.28;0;0.01;0;0;0.01;0.36
Bulgaria;23207;42.733883;25.48583;0.82;0.14;0.04;0;0;0;0;0;0.36
Croatia;26216;45.1;15.2;0.93;0.01;0.05;0;0;0;0;0;0.35
Latvia;29488;56.879635;24.603189;0.56;0;0.44;0;0;0;0;0;0.32
Poland;31647;51.919438;19.145136;0.94;0;0.06;0;0;0;0;0;0.3
Czechia;37423;49.817492;15.472962;0.42;0;0.76;0;0;0;0;0;0.29
Lithuania;34829;55.169438;23.881275;0.9;0;0.1;0;0;0;0;0;0.29
Cyprus;39302;35.126413;33.429859;73.2;25.3;1.2;0;0.2;0;0;0;0.28
Romania;26176;45.943161;24.96676;1;0;0;0;0;0;0;0;0.28
Austria;52225;47.516231;14.550072;0.8;0.05;0.14;0;0;0;0;0;0.28
Slovenia;36826;46.151241;14.995463;0.78;0.04;0.18;0;0;0;0;0;0.28
Spain;40371;40.463667;-3.74922;0.79;0.02;0.19;0;0;0;0;0;0.28
Hungary;31561;47.162494;19.503304;0.81;0;0.19;0;0;0;0;0;0.27
Portugal;32023;39.399872;-8.224454;0.94;0.01;0.04;0;0.01;0.01;0;0;0.26
Slovakia;35099;48.669026;19.699024;0.85;0;0.14;0;0;0;0;0;0.26
Germany;52897;51.165691;10.451526;0.69;0.06;0.25;0;0;0;0;0;0.25
Malta;44587;35.937496;14.375416;0.97;0;0.03;0;0;0;0;0;0.24
Italy;39472;41.87194;12.56738;0.83;0.04;0.12;0;0;0;0;0;0.24
Estonia;33553;58.595272;25.013607;0.4;0;0.6;0;0;0;0;0;0.23
Luxembourg;109199;49.815273;6.129583;0.7;0.02;0.27;0;0;0;0;0;0.21
Finland;46559;61.92411;25.748151;0.82;0.01;0.18;0;0;0;0;0;0.2
Netherlands;56571;52.132633;5.291266;0.39;0.05;0.51;0.01;0;0;0;0;0.19
Ireland;77670;53.41291;-8.24389;0.92;0.01;0.06;0;0;0;0;0;0.19
Denmark;51841;56.26392;9.501785;0.84;0.04;0.12;0;0;0;0;0;0.19
Belgium;48179;50.503887;4.469936;0.74;0.06;0.29;0;0;0;0;0;0.19
United Kingdom;45643;55.378051;-3.435973;0.71;0.04;0.21;0.01;0;0;0.01;0.01;0.17
Sweden;52719;60.128161;18.643501;0.76;0.05;0.27;0;0;0;0;0;0.07
